(* Library holdings (# of books in each library), *)
(* collected by Christian Ayotte.                 *)
(* Labels not available.                          *)


data -         47491
data -        271539
data -         81319
data -         24064
data -         88427
data -         11779
data -        147122
data -        133765
data -        105812
data -        297177
data -         22931
data -        202419
data -         21427
data -         43517
data -        127256
data -         20301
data -         17965
data -         32817
data -         19986
data -         14506
data -         26133
data -        150066
data -         81372
data -         76623
data -        263473
data -         27990
data -         19676
data -         71757
data -        131582
data -          5423
data -        127045
data -         13455
data -         69705
data -          9449
data -         16340
data -         25541
data -         17365
data -         12040
data -         23378
data -          9909
data -         36337
data -         29734
data -         30452
data -         93446
data -         36233
data -        167535
data -          5180
data -         36257
data -         23060
data -          6177
data -         33785
data -         21610
data -         40709
data -        185435
data -         51276
data -         21691
data -         47797
data -        127942
data -         38509
data -         12082
data -        107960
data -         24956
data -        143786
data -         32863
data -        106826
data -         17635
data -        219105
data -         70529
data -         96384
data -         45948
data -         43133
data -         15567
data -        373237
data -          5983
data -         35949
data -         18870
data -        105751
data -          7897
data -         55504
data -         12261
data -         21165
data -         13786
data -          4480
data -          7867
data -         92044
data -         62847
data -         23725
data -         51216
data -        115558
data -        123843
data -         16476
data -         44342
data -         17614
data -         84077
data -         46369
data -         42699
data -         12800
data -         74875
data -         16425
data -         23531
data -         24150
data -         47207
data -        164786
data -         25255
data -          5209
data -        214029
data -          4534
data -         18073
data -         58675
data -         16941
data -         16820
data -         91634
data -         16971
data -         22463
data -         13899
data -         14179
data -         61197
data -          9192
data -         26060
data -         20215
data -         24068
data -         40267
data -         14946
data -         12315
data -         39528
data -          7805
data -         14812
data -         46505
data -         59367
data -         15490
data -         27679
data -         23252
data -         12309
data -         26599
data -         20565
data -         26290
data -         13918
data -         41846
data -         20383
data -         73594
data -         55211
data -        120475
data -          8278
data -         32923
data -         14848
data -         35454
data -         54622
data -         17470
data -         11602
data -         12370
data -         14175
data -         12662
data -         26592
data -         80703
data -        168197
data -         20493
data -         80188
data -          7547
data -         48245
data -         43809
data -          7853
data -         71751
data -        126871
data -          7285
data -          8799
data -         52527
data -         17302
data -         20135
data -         29318
data -        341046
data -         20876
data -         24777
data -        199960
data -         29230
data -         11728
data -         51279
data -         32584
data -        448259
data -         17797
data -         10090
data -         15834
data -         16819
data -         14904
data -         16167
data -        105560
data -         11027
data -         10786
data -         17868
data -        216087
data -         44965
data -         18421
data -        140366
data -         22006
data -         45613
data -         53727
data -         42093
data -        208007
data -        260785
data -         73425
data -         55613
data -        295884
